id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	rank	B_cells|B_cells	B_cells|CAFs	B_cells|CD4_T_cells	B_cells|CD8_act_T_cells	B_cells|CD8_ex_T_cells	B_cells|CD8_mem_T_cells	B_cells|DCs	B_cells|Endothelial	B_cells|Macrophages	B_cells|Melanocytes	B_cells|Myofibroblasts	B_cells|NK_cells	B_cells|Plasma_cells	B_cells|Tcell_prolif	B_cells|Tregs	B_cells|Tumor_1	B_cells|Tumor_2	B_cells|pDCs	CAFs|B_cells	CAFs|CAFs	CAFs|CD4_T_cells	CAFs|CD8_act_T_cells	CAFs|CD8_ex_T_cells	CAFs|CD8_mem_T_cells	CAFs|DCs	CAFs|Endothelial	CAFs|Macrophages	CAFs|Melanocytes	CAFs|Myofibroblasts	CAFs|NK_cells	CAFs|Plasma_cells	CAFs|Tcell_prolif	CAFs|Tregs	CAFs|Tumor_1	CAFs|Tumor_2	CAFs|pDCs	CD4_T_cells|B_cells	CD4_T_cells|CAFs	CD4_T_cells|CD4_T_cells	CD4_T_cells|CD8_act_T_cells	CD4_T_cells|CD8_ex_T_cells	CD4_T_cells|CD8_mem_T_cells	CD4_T_cells|DCs	CD4_T_cells|Endothelial	CD4_T_cells|Macrophages	CD4_T_cells|Melanocytes	CD4_T_cells|Myofibroblasts	CD4_T_cells|NK_cells	CD4_T_cells|Plasma_cells	CD4_T_cells|Tcell_prolif	CD4_T_cells|Tregs	CD4_T_cells|Tumor_1	CD4_T_cells|Tumor_2	CD4_T_cells|pDCs	CD8_act_T_cells|B_cells	CD8_act_T_cells|CAFs	CD8_act_T_cells|CD4_T_cells	CD8_act_T_cells|CD8_act_T_cells	CD8_act_T_cells|CD8_ex_T_cells	CD8_act_T_cells|CD8_mem_T_cells	CD8_act_T_cells|DCs	CD8_act_T_cells|Endothelial	CD8_act_T_cells|Macrophages	CD8_act_T_cells|Melanocytes	CD8_act_T_cells|Myofibroblasts	CD8_act_T_cells|NK_cells	CD8_act_T_cells|Plasma_cells	CD8_act_T_cells|Tcell_prolif	CD8_act_T_cells|Tregs	CD8_act_T_cells|Tumor_1	CD8_act_T_cells|Tumor_2	CD8_act_T_cells|pDCs	CD8_ex_T_cells|B_cells	CD8_ex_T_cells|CAFs	CD8_ex_T_cells|CD4_T_cells	CD8_ex_T_cells|CD8_act_T_cells	CD8_ex_T_cells|CD8_ex_T_cells	CD8_ex_T_cells|CD8_mem_T_cells	CD8_ex_T_cells|DCs	CD8_ex_T_cells|Endothelial	CD8_ex_T_cells|Macrophages	CD8_ex_T_cells|Melanocytes	CD8_ex_T_cells|Myofibroblasts	CD8_ex_T_cells|NK_cells	CD8_ex_T_cells|Plasma_cells	CD8_ex_T_cells|Tcell_prolif	CD8_ex_T_cells|Tregs	CD8_ex_T_cells|Tumor_1	CD8_ex_T_cells|Tumor_2	CD8_ex_T_cells|pDCs	CD8_mem_T_cells|B_cells	CD8_mem_T_cells|CAFs	CD8_mem_T_cells|CD4_T_cells	CD8_mem_T_cells|CD8_act_T_cells	CD8_mem_T_cells|CD8_ex_T_cells	CD8_mem_T_cells|CD8_mem_T_cells	CD8_mem_T_cells|DCs	CD8_mem_T_cells|Endothelial	CD8_mem_T_cells|Macrophages	CD8_mem_T_cells|Melanocytes	CD8_mem_T_cells|Myofibroblasts	CD8_mem_T_cells|NK_cells	CD8_mem_T_cells|Plasma_cells	CD8_mem_T_cells|Tcell_prolif	CD8_mem_T_cells|Tregs	CD8_mem_T_cells|Tumor_1	CD8_mem_T_cells|Tumor_2	CD8_mem_T_cells|pDCs	DCs|B_cells	DCs|CAFs	DCs|CD4_T_cells	DCs|CD8_act_T_cells	DCs|CD8_ex_T_cells	DCs|CD8_mem_T_cells	DCs|DCs	DCs|Endothelial	DCs|Macrophages	DCs|Melanocytes	DCs|Myofibroblasts	DCs|NK_cells	DCs|Plasma_cells	DCs|Tcell_prolif	DCs|Tregs	DCs|Tumor_1	DCs|Tumor_2	DCs|pDCs	Endothelial|B_cells	Endothelial|CAFs	Endothelial|CD4_T_cells	Endothelial|CD8_act_T_cells	Endothelial|CD8_ex_T_cells	Endothelial|CD8_mem_T_cells	Endothelial|DCs	Endothelial|Endothelial	Endothelial|Macrophages	Endothelial|Melanocytes	Endothelial|Myofibroblasts	Endothelial|NK_cells	Endothelial|Plasma_cells	Endothelial|Tcell_prolif	Endothelial|Tregs	Endothelial|Tumor_1	Endothelial|Tumor_2	Endothelial|pDCs	Macrophages|B_cells	Macrophages|CAFs	Macrophages|CD4_T_cells	Macrophages|CD8_act_T_cells	Macrophages|CD8_ex_T_cells	Macrophages|CD8_mem_T_cells	Macrophages|DCs	Macrophages|Endothelial	Macrophages|Macrophages	Macrophages|Melanocytes	Macrophages|Myofibroblasts	Macrophages|NK_cells	Macrophages|Plasma_cells	Macrophages|Tcell_prolif	Macrophages|Tregs	Macrophages|Tumor_1	Macrophages|Tumor_2	Macrophages|pDCs	Melanocytes|B_cells	Melanocytes|CAFs	Melanocytes|CD4_T_cells	Melanocytes|CD8_act_T_cells	Melanocytes|CD8_ex_T_cells	Melanocytes|CD8_mem_T_cells	Melanocytes|DCs	Melanocytes|Endothelial	Melanocytes|Macrophages	Melanocytes|Melanocytes	Melanocytes|Myofibroblasts	Melanocytes|NK_cells	Melanocytes|Plasma_cells	Melanocytes|Tcell_prolif	Melanocytes|Tregs	Melanocytes|Tumor_1	Melanocytes|Tumor_2	Melanocytes|pDCs	Myofibroblasts|B_cells	Myofibroblasts|CAFs	Myofibroblasts|CD4_T_cells	Myofibroblasts|CD8_act_T_cells	Myofibroblasts|CD8_ex_T_cells	Myofibroblasts|CD8_mem_T_cells	Myofibroblasts|DCs	Myofibroblasts|Endothelial	Myofibroblasts|Macrophages	Myofibroblasts|Melanocytes	Myofibroblasts|Myofibroblasts	Myofibroblasts|NK_cells	Myofibroblasts|Plasma_cells	Myofibroblasts|Tcell_prolif	Myofibroblasts|Tregs	Myofibroblasts|Tumor_1	Myofibroblasts|Tumor_2	Myofibroblasts|pDCs	NK_cells|B_cells	NK_cells|CAFs	NK_cells|CD4_T_cells	NK_cells|CD8_act_T_cells	NK_cells|CD8_ex_T_cells	NK_cells|CD8_mem_T_cells	NK_cells|DCs	NK_cells|Endothelial	NK_cells|Macrophages	NK_cells|Melanocytes	NK_cells|Myofibroblasts	NK_cells|NK_cells	NK_cells|Plasma_cells	NK_cells|Tcell_prolif	NK_cells|Tregs	NK_cells|Tumor_1	NK_cells|Tumor_2	NK_cells|pDCs	Plasma_cells|B_cells	Plasma_cells|CAFs	Plasma_cells|CD4_T_cells	Plasma_cells|CD8_act_T_cells	Plasma_cells|CD8_ex_T_cells	Plasma_cells|CD8_mem_T_cells	Plasma_cells|DCs	Plasma_cells|Endothelial	Plasma_cells|Macrophages	Plasma_cells|Melanocytes	Plasma_cells|Myofibroblasts	Plasma_cells|NK_cells	Plasma_cells|Plasma_cells	Plasma_cells|Tcell_prolif	Plasma_cells|Tregs	Plasma_cells|Tumor_1	Plasma_cells|Tumor_2	Plasma_cells|pDCs	Tcell_prolif|B_cells	Tcell_prolif|CAFs	Tcell_prolif|CD4_T_cells	Tcell_prolif|CD8_act_T_cells	Tcell_prolif|CD8_ex_T_cells	Tcell_prolif|CD8_mem_T_cells	Tcell_prolif|DCs	Tcell_prolif|Endothelial	Tcell_prolif|Macrophages	Tcell_prolif|Melanocytes	Tcell_prolif|Myofibroblasts	Tcell_prolif|NK_cells	Tcell_prolif|Plasma_cells	Tcell_prolif|Tcell_prolif	Tcell_prolif|Tregs	Tcell_prolif|Tumor_1	Tcell_prolif|Tumor_2	Tcell_prolif|pDCs	Tregs|B_cells	Tregs|CAFs	Tregs|CD4_T_cells	Tregs|CD8_act_T_cells	Tregs|CD8_ex_T_cells	Tregs|CD8_mem_T_cells	Tregs|DCs	Tregs|Endothelial	Tregs|Macrophages	Tregs|Melanocytes	Tregs|Myofibroblasts	Tregs|NK_cells	Tregs|Plasma_cells	Tregs|Tcell_prolif	Tregs|Tregs	Tregs|Tumor_1	Tregs|Tumor_2	Tregs|pDCs	Tumor_1|B_cells	Tumor_1|CAFs	Tumor_1|CD4_T_cells	Tumor_1|CD8_act_T_cells	Tumor_1|CD8_ex_T_cells	Tumor_1|CD8_mem_T_cells	Tumor_1|DCs	Tumor_1|Endothelial	Tumor_1|Macrophages	Tumor_1|Melanocytes	Tumor_1|Myofibroblasts	Tumor_1|NK_cells	Tumor_1|Plasma_cells	Tumor_1|Tcell_prolif	Tumor_1|Tregs	Tumor_1|Tumor_1	Tumor_1|Tumor_2	Tumor_1|pDCs	Tumor_2|B_cells	Tumor_2|CAFs	Tumor_2|CD4_T_cells	Tumor_2|CD8_act_T_cells	Tumor_2|CD8_ex_T_cells	Tumor_2|CD8_mem_T_cells	Tumor_2|DCs	Tumor_2|Endothelial	Tumor_2|Macrophages	Tumor_2|Melanocytes	Tumor_2|Myofibroblasts	Tumor_2|NK_cells	Tumor_2|Plasma_cells	Tumor_2|Tcell_prolif	Tumor_2|Tregs	Tumor_2|Tumor_1	Tumor_2|Tumor_2	Tumor_2|pDCs	pDCs|B_cells	pDCs|CAFs	pDCs|CD4_T_cells	pDCs|CD8_act_T_cells	pDCs|CD8_ex_T_cells	pDCs|CD8_mem_T_cells	pDCs|DCs	pDCs|Endothelial	pDCs|Macrophages	pDCs|Melanocytes	pDCs|Myofibroblasts	pDCs|NK_cells	pDCs|Plasma_cells	pDCs|Tcell_prolif	pDCs|Tregs	pDCs|Tumor_1	pDCs|Tumor_2	pDCs|pDCs
CPI-SC047CEF2DD	CRLF2_TSLPR	simple:Q9HC73	complex:TSLPR	ENSG00000205755		True	True	True	curated	False	0.003																																																																																																																			1.172																																																																																																																																																																																																																	
CPI-SS076D8A297	FGF5_FGFR3	simple:P12034	simple:P22607	ENSG00000138675	ENSG00000068078	True	False	True	I2D	False	0.003																																																																																																																																																																																																																																																																																														0.559																																						
CPI-SS0947A8549	FLT1_VEGFB	simple:P17948	simple:P49765	ENSG00000102755	ENSG00000173511	True	True	False	curated	False	0.003																																																																																																																																																2.652																																																																																																																																																																																				
CPI-SS0659DBE72	EFNA4_EPHA4	simple:P52798	simple:P54764	ENSG00000243364	ENSG00000116106	True	False	True	curated	False	0.003																																																																																																																																																																																																																																																																																																																0.573																				
CPI-SS0F26BB901	WNT2_FZD3	simple:P09544	simple:Q9NPG1	ENSG00000105989	ENSG00000104290	True	False	True	curated	False	0.003																												0.413																																																																																																																																																																																																																																																																																																								
CPI-SS0E4DE8215	WNT2_FZD1	simple:P09544	simple:Q9UP38	ENSG00000105989	ENSG00000157240	True	False	True	I2D	False	0.003																				0.429																																																																																																																																																																																																																																																																																																																
CPI-SS0EC70F078	SCT_VIPR1	simple:P09683	simple:P32241	ENSG00000274473	ENSG00000114812	True	False	True	I2D,InnateDB-All	False	0.003																																																																																																																																																																																																																																																																																																																																		2.169		
CPI-SS0EC70F078	SCT_VIPR1	simple:P09683	simple:P32241	ENSG00000070031	ENSG00000114812	True	False	True	I2D,InnateDB-All	False	0.003																																																																																																																																																																																																																																																																																																																																		2.169		
CPI-SS0ABF41CAA	CXCL5_ACKR1	simple:P42830	simple:Q16570	ENSG00000163735	ENSG00000213088	True	False	True	I2D	False	0.003																										5.974																																																																																																																																																																																																																																																																																																										
CPI-SS0ACD487F0	L1CAM_L1CAM	simple:P32004	simple:P32004	ENSG00000198910	ENSG00000198910	False	False	False	curated	False	0.003																																																																																																																																																																												0.91																																																																																																																																																								
CPI-SS05FEE05CB	NOTCH4_JAG2	simple:Q99466	simple:Q9Y219	ENSG00000234876	ENSG00000184916	False	True	False	curated	False	0.003																																																																																																																																						0.922																																																																																																																																																																																														
CPI-SS05FEE05CB	NOTCH4_JAG2	simple:Q99466	simple:Q9Y219	ENSG00000206312	ENSG00000184916	False	True	False	curated	False	0.003																																																																																																																																						0.922																																																																																																																																																																																														
CPI-SS05FEE05CB	NOTCH4_JAG2	simple:Q99466	simple:Q9Y219	ENSG00000223355	ENSG00000184916	False	True	False	curated	False	0.003																																																																																																																																						0.922																																																																																																																																																																																														
CPI-SS05FEE05CB	NOTCH4_JAG2	simple:Q99466	simple:Q9Y219	ENSG00000235396	ENSG00000184916	False	True	False	curated	False	0.003																																																																																																																																						0.922																																																																																																																																																																																														
CPI-SS05FEE05CB	NOTCH4_JAG2	simple:Q99466	simple:Q9Y219	ENSG00000232339	ENSG00000184916	False	True	False	curated	False	0.003																																																																																																																																						0.922																																																																																																																																																																																														
CPI-SS05FEE05CB	NOTCH4_JAG2	simple:Q99466	simple:Q9Y219	ENSG00000238196	ENSG00000184916	False	True	False	curated	False	0.003																																																																																																																																						0.922																																																																																																																																																																																														
CPI-SS05FEE05CB	NOTCH4_JAG2	simple:Q99466	simple:Q9Y219	ENSG00000204301	ENSG00000184916	False	True	False	curated	False	0.003																																																																																																																																						0.922																																																																																																																																																																																														
CPI-SS00D153A8A	NOTCH4_DLL4	simple:Q99466	simple:Q9NR61	ENSG00000234876	ENSG00000128917	False	True	False	curated	False	0.003																																																																																																																																						1.105																																																																																																																																																																																														
CPI-SS0C090A257	CCL3_CCR5	simple:P10147	simple:P51681	ENSG00000278567	ENSG00000160791	True	False	True	curated	False	0.003																																																																																																																																																																																																																				1.378																																																																																																																
CPI-SS0C090A257	CCL3_CCR5	simple:P10147	simple:P51681	ENSG00000277632	ENSG00000160791	True	False	True	curated	False	0.003																																																																																																																																																																																																																				1.378																																																																																																																
CPI-SS0C090A257	CCL3_CCR5	simple:P10147	simple:P51681	ENSG00000274221	ENSG00000160791	True	False	True	curated	False	0.003																																																																																																																																																																																																																				1.378																																																																																																																
CPI-SS0A3569604	IGF2_IDE	simple:P01344	simple:P14735	ENSG00000167244	ENSG00000119912	True	False	True	I2D,InnateDB-All	False	0.003																																																																																																																																												1.663																																																																																																																																																																																								
CPI-SS0A3569604	IGF2_IDE	simple:P01344	simple:P14735	ENSG00000284779	ENSG00000119912	True	False	True	I2D,InnateDB-All	False	0.003																																																																																																																																												1.663																																																																																																																																																																																								
CPI-SS076D8415B	CCL3_IDE	simple:P10147	simple:P14735	ENSG00000278567	ENSG00000119912	True	False	True	IMEx,InnateDB-All,MINT	False	0.003																																																																																																																																																																																																																				1.363																																																																																																																
CPI-SS0D1AE5C79	FGFR3_EPHA4	simple:P22607	simple:P54764	ENSG00000068078	ENSG00000116106	True	True	True	I2D,InnateDB-All	False	0.003																																																																																																																																																																																																																																																																																														0.655																																						
CPI-SS076D8415B	CCL3_IDE	simple:P10147	simple:P14735	ENSG00000277632	ENSG00000119912	True	False	True	IMEx,InnateDB-All,MINT	False	0.003																																																																																																																																																																																																																				1.363																																																																																																																
CPI-SS00D153A8A	NOTCH4_DLL4	simple:Q99466	simple:Q9NR61	ENSG00000204301	ENSG00000128917	False	True	False	curated	False	0.003																																																																																																																																						1.105																																																																																																																																																																																														
CPI-SS00D153A8A	NOTCH4_DLL4	simple:Q99466	simple:Q9NR61	ENSG00000238196	ENSG00000128917	False	True	False	curated	False	0.003																																																																																																																																						1.105																																																																																																																																																																																														
CPI-SS00D153A8A	NOTCH4_DLL4	simple:Q99466	simple:Q9NR61	ENSG00000232339	ENSG00000128917	False	True	False	curated	False	0.003																																																																																																																																						1.105																																																																																																																																																																																														
CPI-SS00D153A8A	NOTCH4_DLL4	simple:Q99466	simple:Q9NR61	ENSG00000235396	ENSG00000128917	False	True	False	curated	False	0.003																																																																																																																																						1.105																																																																																																																																																																																														
CPI-SS00D153A8A	NOTCH4_DLL4	simple:Q99466	simple:Q9NR61	ENSG00000223355	ENSG00000128917	False	True	False	curated	False	0.003																																																																																																																																						1.105																																																																																																																																																																																														
CPI-SS00D153A8A	NOTCH4_DLL4	simple:Q99466	simple:Q9NR61	ENSG00000206312	ENSG00000128917	False	True	False	curated	False	0.003																																																																																																																																						1.105																																																																																																																																																																																														
CPI-SS076D8415B	CCL3_IDE	simple:P10147	simple:P14735	ENSG00000274221	ENSG00000119912	True	False	True	IMEx,InnateDB-All,MINT	False	0.003																																																																																																																																																																																																																				1.363																																																																																																																
CPI-SS0C2561156	WNT2_FZD4	simple:P09544	simple:Q9ULV1	ENSG00000105989	ENSG00000174804	True	False	True	curated	False	0.003																										0.668																																																																																																																																																																																																																																																																																																										
CPI-SS00E68BB92	FGF7_FGFR3	simple:P21781	simple:P22607	ENSG00000140285	ENSG00000068078	True	False	True	I2D	False	0.003																																		0.898																																																																																																																																																																																																																																																																																																		
CPI-SS0C17BB772	FCGR2A_CXCL9	simple:P12318	simple:Q07325	ENSG00000143226	ENSG00000138755	True	True	False	IMEx,IntAct	False	0.003																																																																																																																																																							2.32																																																																																																																																																																													
CPI-CS05426BFFA	IL1 receptor_IL1B	complex:IL1 receptor	simple:P01584		ENSG00000125538	True	True	False	curated	False	0.003																																																																																																																																																																																																																																																																																																									8.228																											
CPI-CS008C9D6E5	IL1 receptor inhibitor_IL1B	complex:IL1 receptor inhibitor	simple:P01584		ENSG00000125538	True	True	False	curated	False	0.003																																																																																																																																																																																																																																																																																																									8.228																											
CPI-CS0DDFD82E7	IL11 receptor_IL11	complex:IL11 receptor	simple:P20809		ENSG00000095752	True	True	False	curated	False	0.003																																																																																																																																																																																																																																																																																1.279																																																				
CPI-CS09831CCFD	IL18 receptor_IL18	complex:IL18 receptor	simple:Q14116		ENSG00000150782	True	True	False	curated	False	0.003																																																																																																																																																									0.763																																																																																																																																																																											
CPI-SS0B337B316	TEK_ANGPT1	simple:Q02763	simple:Q15389	ENSG00000120156	ENSG00000154188	True	True	False	curated	False	0.003																																																																																																																																									0.979																																																																																																																																																																																											
CPI-CS077F1340A	FLT1 complex_VEGFB	complex:FLT1 complex	simple:P49765		ENSG00000173511	True	True	False	curated	False	0.003																																																																																																																																																1.266																																																																																																																																																																																				
CPI-SS015E1E2C6	SELP_CD34	simple:P16109	simple:P28906	ENSG00000174175	ENSG00000174059	False	False	False	curated	False	0.003																																																																																																																																						2.139																																																																																																																																																																																														
CPI-SS0A8627ED6	PVR_CD226	simple:P15151	simple:Q15762	ENSG00000073008	ENSG00000150637	True	True	True	curated	False	0.003																																																																																																																										0.474																																																																																																																																																																																																										
CPI-SS0974EB232	ACKR1_CCL17	simple:Q16570	simple:Q92583	ENSG00000213088	ENSG00000102970	True	True	False	I2D	False	0.003																																																																																																																																					18.523																																																																																																																																																																																															
CPI-CS0C57A3081	PlexinA1_complex1_SEMA6D	complex:PlexinA1_complex1	simple:Q8NFY4		ENSG00000137872	False	True	False	curated	False	0.003																																																																																																																																																																													0.265																																																																																																																																																							
CPI-SS048A2311A	TNF_RIPK1	simple:P01375	simple:Q13546	ENSG00000204490	ENSG00000137275	True	False	True	I2D,IMEx,InnateDB,InnateDB-All,IntAct,MINT	False	0.006														1.381																																																						2.629																																																																																																																																																																																																																																																																
CPI-SS098425155	ADRB2_VEGFB	simple:P07550	simple:P49765	ENSG00000169252	ENSG00000173511	True	True	False	InnateDB-All	False	0.006																																																																								0.641																																																																																																												0.674																																																																																																																																																
