interacting_pair,interacting_cell,id,valueResponders,valueNonresponders,RatioRespondersVsNonresponders,LogRatioRespondersVsNonresponders
FCER2_aMb2 complex,B_cells.B_cells,FCER2_aMb2 complex-B_cells.B_cells,1.321,0.1,13.21,1.120902818
TNFRSF13B_CD70,B_cells.B_cells,TNFRSF13B_CD70-B_cells.B_cells,2.776,2.045,1.357457213,0.132726149
ICAM1_aMb2 complex,B_cells.B_cells,ICAM1_aMb2 complex-B_cells.B_cells,1.091,0.1,10.91,1.037824751
PTPRC_CD22,B_cells.B_cells,PTPRC_CD22-B_cells.B_cells,1.582,0.1,15.82,1.199206479
CD27_CD70,B_cells.B_cells,CD27_CD70-B_cells.B_cells,3.113,1.606,1.938356164,0.28743358
CD55_ADGRE5,B_cells.B_cells,CD55_ADGRE5-B_cells.B_cells,5.709,2.078,2.747353224,0.4389145
CD74_COPA,B_cells.B_cells,CD74_COPA-B_cells.B_cells,89.943,72.436,1.241689215,0.094012909
CD74_MIF,B_cells.B_cells,CD74_MIF-B_cells.B_cells,91.864,74.739,1.229130708,0.089598069
COL9A2_a11b1 complex,B_cells.CAFs,COL9A2_a11b1 complex-B_cells.CAFs,0.537,0.1,5.37,0.729974286
COL9A2_a1b1 complex,B_cells.CAFs,COL9A2_a1b1 complex-B_cells.CAFs,0.432,0.1,4.32,0.635483747
SEMA7A_a1b1 complex,B_cells.CAFs,SEMA7A_a1b1 complex-B_cells.CAFs,0.988,0.659,1.499241275,0.17587153
CCR7_CCL19,B_cells.CAFs,CCR7_CCL19-B_cells.CAFs,8.341,0.1,83.41,1.921218121
CD74_APP,B_cells.CAFs,CD74_APP-B_cells.CAFs,91.208,73.763,1.236500685,0.092194361
LAMP1_FAM3C,B_cells.CAFs,LAMP1_FAM3C-B_cells.CAFs,1.391,0.997,1.395185557,0.144631972
CD55_ADGRE5,B_cells.CAFs,CD55_ADGRE5-B_cells.CAFs,3.331,0.1,33.31,1.522574633
CD74_COPA,B_cells.CAFs,CD74_COPA-B_cells.CAFs,90.051,72.428,1.243317502,0.094582047
CD74_MIF,B_cells.CAFs,CD74_MIF-B_cells.CAFs,92.581,78.463,1.179931942,0.071856958
TNFRSF13B_TNFSF13B,B_cells.CD4_T_cells,TNFRSF13B_TNFSF13B-B_cells.CD4_T_cells,1.232,0.1,12.32,1.090610708
TNFRSF13C_TNFSF13B,B_cells.CD4_T_cells,TNFRSF13C_TNFSF13B-B_cells.CD4_T_cells,1.043,0.1,10.43,1.018284308
CD40_CD40LG,B_cells.CD4_T_cells,CD40_CD40LG-B_cells.CD4_T_cells,2.408,1.808,1.331858407,0.124458056
CD40_TNFSF13B,B_cells.CD4_T_cells,CD40_TNFSF13B-B_cells.CD4_T_cells,2.671,0.1,26.71,1.426673888
HLA-DPB1_TNFSF13B,B_cells.CD4_T_cells,HLA-DPB1_TNFSF13B-B_cells.CD4_T_cells,13.051,0.1,130.51,2.11564379
CD55_ADGRE5,B_cells.CD4_T_cells,CD55_ADGRE5-B_cells.CD4_T_cells,3.561,0.1,35.61,1.551571974
CD74_COPA,B_cells.CD4_T_cells,CD74_COPA-B_cells.CD4_T_cells,90.126,72.487,1.243340185,0.09458997
CD74_MIF,B_cells.CD4_T_cells,CD74_MIF-B_cells.CD4_T_cells,92.644,75.275,1.230740618,0.090166534
HLA-DPA1_TNFSF9,B_cells.CD8_act_T_cells,HLA-DPA1_TNFSF9-B_cells.CD8_act_T_cells,12.374,11.968,1.033923797,0.014488531
CD55_ADGRE5,B_cells.CD8_act_T_cells,CD55_ADGRE5-B_cells.CD8_act_T_cells,5.028,2.418,2.079404467,0.317938972
CD74_MIF,B_cells.CD8_act_T_cells,CD74_MIF-B_cells.CD8_act_T_cells,91.985,74.473,1.235145623,0.091718164
CD72_SEMA4D,B_cells.CD8_ex_T_cells,CD72_SEMA4D-B_cells.CD8_ex_T_cells,0.774,0.1,7.74,0.888740961
TNF_ICOS,B_cells.CD8_ex_T_cells,TNF_ICOS-B_cells.CD8_ex_T_cells,1.517,0.1,15.17,1.180985581
SELL_SELPLG,B_cells.CD8_ex_T_cells,SELL_SELPLG-B_cells.CD8_ex_T_cells,2.31,1.427,1.618780659,0.209188007
CD55_ADGRE5,B_cells.CD8_ex_T_cells,CD55_ADGRE5-B_cells.CD8_ex_T_cells,4.341,1.788,2.427852349,0.385222271
CD74_COPA,B_cells.CD8_ex_T_cells,CD74_COPA-B_cells.CD8_ex_T_cells,90.121,72.574,1.241780803,0.094044942
CD74_MIF,B_cells.CD8_ex_T_cells,CD74_MIF-B_cells.CD8_ex_T_cells,93.166,75.07,1.241055015,0.093791034
CD72_SEMA4D,B_cells.CD8_mem_T_cells,CD72_SEMA4D-B_cells.CD8_mem_T_cells,0.939,0.1,9.39,0.972665592
TNF_TNFRSF1B,B_cells.CD8_mem_T_cells,TNF_TNFRSF1B-B_cells.CD8_mem_T_cells,2.322,0.1,23.22,1.365862215
CD55_ADGRE5,B_cells.CD8_mem_T_cells,CD55_ADGRE5-B_cells.CD8_mem_T_cells,4.209,1.883,2.235262878,0.349328606
CD74_COPA,B_cells.CD8_mem_T_cells,CD74_COPA-B_cells.CD8_mem_T_cells,90.14,72.547,1.242504859,0.094298096
CD74_MIF,B_cells.CD8_mem_T_cells,CD74_MIF-B_cells.CD8_mem_T_cells,92.563,74.578,1.24115691,0.093826689
TNFRSF13B_TNFSF13B,B_cells.DCs,TNFRSF13B_TNFSF13B-B_cells.DCs,5.756,4.097,1.404930437,0.147654821
TNFRSF13C_TNFSF13B,B_cells.DCs,TNFRSF13C_TNFSF13B-B_cells.DCs,5.567,3.522,1.580636002,0.19883187
TNFRSF13B_CD70,B_cells.DCs,TNFRSF13B_CD70-B_cells.DCs,1.003,2.115,0.474231678,-0.324009439
CD40_TNFSF13B,B_cells.DCs,CD40_TNFSF13B-B_cells.DCs,7.195,4.359,1.650607938,0.217643929
CCR7_CCL19,B_cells.DCs,CCR7_CCL19-B_cells.DCs,5.986,5.621,1.064935065,0.027323127
HLA-DPB1_TNFSF13B,B_cells.DCs,HLA-DPB1_TNFSF13B-B_cells.DCs,17.575,14.107,1.245835401,0.095460667
CD74_APP,B_cells.DCs,CD74_APP-B_cells.DCs,89.757,72.763,1.233552767,0.091157732
CD74_COPA,B_cells.DCs,CD74_COPA-B_cells.DCs,89.906,72.387,1.242018594,0.094128098
CD74_MIF,B_cells.DCs,CD74_MIF-B_cells.DCs,90.79,74.804,1.213705149,0.084113195
SELL_CD34,B_cells.Endothelial,SELL_CD34-B_cells.Endothelial,3.241,2.96,1.094932432,0.03938732
CD44_SELE,B_cells.Endothelial,CD44_SELE-B_cells.Endothelial,8.648,4.829,1.790846966,0.253058476
CD74_APP,B_cells.Endothelial,CD74_APP-B_cells.Endothelial,92.429,76.13,1.214094312,0.084252425
CD74_COPA,B_cells.Endothelial,CD74_COPA-B_cells.Endothelial,90.098,72.443,1.243708847,0.094718724
CD74_MIF,B_cells.Endothelial,CD74_MIF-B_cells.Endothelial,92.809,75.427,1.230447983,0.090063259
FCER2_aXb2 complex,B_cells.Macrophages,FCER2_aXb2 complex-B_cells.Macrophages,1.704,0.1,17.04,1.23146959
TNFRSF13B_TNFSF13,B_cells.Macrophages,TNFRSF13B_TNFSF13-B_cells.Macrophages,0.707,1.243,0.568785197,-0.245051715
