Ligand.Cellset,Receptor.Cellset,PreEffectiveScore,PreEffectiveNum,PreNonEffectiveScore,PreNonEffectiveNum,PreEffectiveVsNonEffectiveScoreRatio,PreEffectiveVsNonEffectiveNumRatio,PostEffectiveScore,PostEffectiveNum,PostNonEffectiveScore,PostNonEffectiveNum,EffectivePostVsPreScoreRatio,EffectivePostVsPreNumRatio,NonEffectivePostVsPreScoreRatio,NonEffectivePostVsPreNumRatio,ResVsNonResScoreRatio,ResVsNonResNumRatio
B_cells,B_cells,197.3990 ,8.0000 ,171.3230 ,8.0000 ,1.1522 ,1.0000 ,230.2980 ,10.0000 ,204.4520 ,8.0000 ,1.1667 ,1.2500 ,1.1934 ,1.0000 ,0.9776 ,1.2500 
B_cells,CAFs,288.8600 ,9.0000 ,242.8170 ,6.0000 ,1.1896 ,1.5000 ,240.0910 ,7.0000 ,301.3940 ,8.0000 ,0.8312 ,0.7778 ,1.2412 ,1.3333 ,0.6696 ,0.5833 
B_cells,CD4_T_cells,206.7360 ,8.0000 ,155.6110 ,7.0000 ,1.3285 ,1.1429 ,154.2680 ,6.0000 ,230.2120 ,16.0000 ,0.7462 ,0.7500 ,1.4794 ,2.2857 ,0.5044 ,0.3281 
B_cells,CD8_act_T_cells,109.3870 ,3.0000 ,168.1830 ,9.0000 ,0.6504 ,0.3333 ,171.0480 ,9.0000 ,231.9430 ,11.0000 ,1.5637 ,3.0000 ,1.3791 ,1.2222 ,1.1338 ,2.4545 
B_cells,CD8_ex_T_cells,192.2290 ,6.0000 ,230.8200 ,9.0000 ,0.8328 ,0.6667 ,158.2220 ,9.0000 ,320.9050 ,15.0000 ,0.8231 ,1.5000 ,1.3903 ,1.6667 ,0.5920 ,0.9000 
B_cells,CD8_mem_T_cells,190.1730 ,5.0000 ,155.6050 ,7.0000 ,1.2222 ,0.7143 ,156.5170 ,8.0000 ,208.7240 ,10.0000 ,0.8230 ,1.6000 ,1.3414 ,1.4286 ,0.6136 ,1.1200 
B_cells,DCs,313.5350 ,9.0000 ,284.5510 ,15.0000 ,1.1019 ,0.6000 ,275.3880 ,13.0000 ,349.7530 ,20.0000 ,0.8783 ,1.4444 ,1.2291 ,1.3333 ,0.7146 ,1.0833 
B_cells,Endothelial,287.2250 ,5.0000 ,248.6410 ,7.0000 ,1.1552 ,0.7143 ,234.8220 ,9.0000 ,315.1090 ,11.0000 ,0.8176 ,1.8000 ,1.2673 ,1.5714 ,0.6451 ,1.1455 
B_cells,Macrophages,305.7520 ,12.0000 ,254.3160 ,13.0000 ,1.2023 ,0.9231 ,251.0730 ,13.0000 ,348.1330 ,19.0000 ,0.8212 ,1.0833 ,1.3689 ,1.4615 ,0.5999 ,0.7412 
B_cells,Melanocytes,284.3620 ,5.0000 ,241.3260 ,7.0000 ,1.1783 ,0.7143 ,150.6030 ,5.0000 ,301.8570 ,10.0000 ,0.5296 ,1.0000 ,1.2508 ,1.4286 ,0.4234 ,0.7000 
B_cells,Myofibroblasts,282.9080 ,8.0000 ,241.1430 ,7.0000 ,1.1732 ,1.1429 ,224.6050 ,5.0000 ,306.1620 ,12.0000 ,0.7939 ,0.6250 ,1.2696 ,1.7143 ,0.6253 ,0.3646 
B_cells,NK_cells,204.3810 ,5.0000 ,192.1560 ,11.0000 ,1.0636 ,0.4545 ,180.1480 ,12.0000 ,227.4790 ,12.0000 ,0.8814 ,2.4000 ,1.1838 ,1.0909 ,0.7446 ,2.2000 
B_cells,Plasma_cells,200.8730 ,6.0000 ,168.6000 ,7.0000 ,1.1914 ,0.8571 ,154.2690 ,5.0000 ,199.7180 ,6.0000 ,0.7680 ,0.8333 ,1.1846 ,0.8571 ,0.6483 ,0.9722 
B_cells,Tcell_prolif,193.2980 ,7.0000 ,177.6710 ,11.0000 ,1.0880 ,0.6364 ,161.8830 ,12.0000 ,220.4810 ,17.0000 ,0.8375 ,1.7143 ,1.2410 ,1.5455 ,0.6749 ,1.1092 
B_cells,Tregs,196.9730 ,7.0000 ,157.5150 ,8.0000 ,1.2505 ,0.8750 ,154.8410 ,7.0000 ,218.8700 ,14.0000 ,0.7861 ,1.0000 ,1.3895 ,1.7500 ,0.5657 ,0.5714 
B_cells,Tumor_1,278.5120 ,3.0000 ,254.1010 ,6.0000 ,1.0961 ,0.5000 ,221.7230 ,5.0000 ,308.9200 ,7.0000 ,0.7961 ,1.6667 ,1.2157 ,1.1667 ,0.6548 ,1.4286 
B_cells,Tumor_2,294.3790 ,7.0000 ,251.0900 ,6.0000 ,1.1724 ,1.1667 ,241.3220 ,6.0000 ,322.4110 ,13.0000 ,0.8198 ,0.8571 ,1.2840 ,2.1667 ,0.6384 ,0.3956 
B_cells,pDCs,293.2420 ,11.0000 ,280.6960 ,17.0000 ,1.0447 ,0.6471 ,247.3180 ,13.0000 ,353.0440 ,22.0000 ,0.8434 ,1.1818 ,1.2577 ,1.2941 ,0.6706 ,0.9132 
CAFs,B_cells,37.4270 ,11.0000 ,29.7050 ,12.0000 ,1.2600 ,0.9167 ,44.1450 ,15.0000 ,54.5530 ,15.0000 ,1.1795 ,1.3636 ,1.8365 ,1.2500 ,0.6423 ,1.0909 
CAFs,CAFs,632.8460 ,74.0000 ,211.4520 ,55.0000 ,2.9929 ,1.3455 ,466.1100 ,90.0000 ,263.7380 ,55.0000 ,0.7365 ,1.2162 ,1.2473 ,1.0000 ,0.5905 ,1.2162 
CAFs,CD4_T_cells,39.4270 ,15.0000 ,37.5970 ,13.0000 ,1.0487 ,1.1538 ,37.2370 ,12.0000 ,55.4470 ,19.0000 ,0.9445 ,0.8000 ,1.4748 ,1.4615 ,0.6404 ,0.5474 
CAFs,CD8_act_T_cells,56.3760 ,16.0000 ,44.5480 ,13.0000 ,1.2655 ,1.2308 ,70.1140 ,19.0000 ,82.7510 ,23.0000 ,1.2437 ,1.1875 ,1.8576 ,1.7692 ,0.6695 ,0.6712 
CAFs,CD8_ex_T_cells,53.9080 ,18.0000 ,43.6690 ,17.0000 ,1.2345 ,1.0588 ,55.3010 ,20.0000 ,55.9830 ,21.0000 ,1.0258 ,1.1111 ,1.2820 ,1.2353 ,0.8002 ,0.8995 
CAFs,CD8_mem_T_cells,64.9860 ,20.0000 ,48.6750 ,19.0000 ,1.3351 ,1.0526 ,253.5610 ,44.0000 ,64.1990 ,20.0000 ,3.9018 ,2.2000 ,1.3189 ,1.0526 ,2.9583 ,2.0900 
CAFs,DCs,48.4460 ,18.0000 ,33.8070 ,18.0000 ,1.4330 ,1.0000 ,47.5660 ,17.0000 ,48.0330 ,18.0000 ,0.9818 ,0.9444 ,1.4208 ,1.0000 ,0.6910 ,0.9444 
CAFs,Endothelial,57.4350 ,23.0000 ,402.1030 ,76.0000 ,0.1428 ,0.3026 ,254.8260 ,54.0000 ,305.9400 ,58.0000 ,4.4368 ,2.3478 ,0.7608 ,0.7632 ,5.8313 ,3.0765 
CAFs,Macrophages,66.9070 ,31.0000 ,67.0220 ,27.0000 ,0.9983 ,1.1481 ,98.1390 ,34.0000 ,104.1330 ,31.0000 ,1.4668 ,1.0968 ,1.5537 ,1.1481 ,0.9441 ,0.9553 
CAFs,Melanocytes,36.9270 ,23.0000 ,35.5460 ,17.0000 ,1.0389 ,1.3529 ,54.3210 ,24.0000 ,53.3690 ,22.0000 ,1.4710 ,1.0435 ,1.5014 ,1.2941 ,0.9798 ,0.8063 
CAFs,Myofibroblasts,325.6530 ,42.0000 ,215.6490 ,53.0000 ,1.5101 ,0.7925 ,264.4180 ,46.0000 ,271.8740 ,48.0000 ,0.8120 ,1.0952 ,1.2607 ,0.9057 ,0.6440 ,1.2093 
CAFs,NK_cells,62.2030 ,17.0000 ,214.2470 ,46.0000 ,0.2903 ,0.3696 ,277.8700 ,57.0000 ,76.6710 ,23.0000 ,4.4671 ,3.3529 ,0.3579 ,0.5000 ,12.4829 ,6.7059 
