id_cp_interaction,interacting_pair,partner_a,partner_b,gene_a,gene_aName,gene_b,gene_bName,secreted,receptor_a,receptor_b,annotation_strategy,is_integrin,rank,interacting_cell,value,id,PreNonEffectiveScore,PostNonEffectiveScore,NonEffectiveRatio,NonEffectiveFoldChange,PreEffectiveScore,PostEffectiveScore,EffectiveRatio,EffectiveFoldChange,EffectiveVsNonEffectiveRatio,FoldChange(EffectiveCombineNonEffective),FoldChange,LigandCellset,ReceptorCellset
CPI-SS0AA47D179,TNFRSF13B_CD70,simple:O14836,simple:P32970,ENSG00000240505,TNFRSF13B,ENSG00000125726,CD70,TRUE,TRUE,FALSE,InnateDB-All,FALSE,0.019,B_cells.B_cells,2.045,TNFRSF13B_CD70-B_cells.B_cells,2.045,2.366,1.156968215,0.5-2,2.776,2.228,0.80259366,0.5-2,0.693704157,0.5-2,0.5-2,B_cells,B_cells
CPI-SS0D4BF6CA3,CD27_CD70,simple:P26842,simple:P32970,ENSG00000139193,CD27,ENSG00000125726,CD70,TRUE,TRUE,FALSE,curated,FALSE,0.108,B_cells.B_cells,1.606,CD27_CD70-B_cells.B_cells,1.606,1.681,1.046699875,0.5-2,3.113,1.709,0.548988114,0.5-2,0.524494296,0.5-2,0.5-2,B_cells,B_cells
CPI-SS0302E8E8F,CD74_COPA,simple:P04233,simple:P53621,ENSG00000019582,CD74,ENSG00000122218,COPA,TRUE,TRUE,FALSE,"IMEx,IntAct",FALSE,0.222,B_cells.B_cells,72.436,CD74_COPA-B_cells.B_cells,72.436,95.705,1.321235297,0.5-2,89.943,72.148,0.802152474,0.5-2,0.607123104,0.5-2,0.5-2,B_cells,B_cells
CPI-SS061A7E099,CD55_ADGRE5,simple:P08174,simple:P48960,ENSG00000196352,CD55,ENSG00000123146,ADGRE5,TRUE,TRUE,TRUE,curated,FALSE,0.225,B_cells.B_cells,2.078,CD55_ADGRE5-B_cells.B_cells,2.078,2.894,1.392685274,0.5-2,5.709,1.676,0.293571554,>2 or <0.5,0.210795331,>2 or <0.5,>2 or <0.5,B_cells,B_cells
CPI-SS0ABC5C1B8,CD74_MIF,simple:P04233,simple:P14174,ENSG00000019582,CD74,ENSG00000240972,MIF,TRUE,TRUE,FALSE,"I2D,InnateDB-All",FALSE,0.225,B_cells.B_cells,74.739,CD74_MIF-B_cells.B_cells,74.739,97.933,1.310333293,0.5-2,91.864,74.471,0.810665767,0.5-2,0.618671426,0.5-2,0.5-2,B_cells,B_cells
CPI-SC0EAF80261,SEMA7A_a1b1 complex,simple:O75326,complex:a1b1 complex,ENSG00000138623,SEMA7A,,#N/A,FALSE,FALSE,FALSE,curated,TRUE,0.037,B_cells.CAFs,0.659,SEMA7A_a1b1 complex-B_cells.CAFs,0.659,0.612,0.928679818,0.5-2,0.988,0.585,0.592105263,0.5-2,0.637577399,0.5-2,0.5-2,B_cells,CAFs
CPI-SS09808DEAE,CD74_APP,simple:P04233,simple:P05067,ENSG00000019582,CD74,ENSG00000142192,APP,FALSE,TRUE,FALSE,curated,FALSE,0.13,B_cells.CAFs,73.763,CD74_APP-B_cells.CAFs,73.763,97.054,1.315754511,0.5-2,91.208,73.885,0.810071485,0.5-2,0.615670688,0.5-2,0.5-2,B_cells,CAFs
CPI-SS0302E8E8F,CD74_COPA,simple:P04233,simple:P53621,ENSG00000019582,CD74,ENSG00000122218,COPA,TRUE,TRUE,FALSE,"IMEx,IntAct",FALSE,0.222,B_cells.CAFs,72.428,CD74_COPA-B_cells.CAFs,72.428,95.658,1.320732313,0.5-2,90.051,72.168,0.801412533,0.5-2,0.606794068,0.5-2,0.5-2,B_cells,CAFs
CPI-SS0ABC5C1B8,CD74_MIF,simple:P04233,simple:P14174,ENSG00000019582,CD74,ENSG00000240972,MIF,TRUE,TRUE,FALSE,"I2D,InnateDB-All",FALSE,0.225,B_cells.CAFs,78.463,CD74_MIF-B_cells.CAFs,78.463,103.311,1.316684297,0.5-2,92.581,76.621,0.827610417,0.5-2,0.628556457,0.5-2,0.5-2,B_cells,CAFs
CPI-SS055E061C9,LAMP1_FAM3C,simple:P11279,simple:Q92520,ENSG00000185896,LAMP1,ENSG00000196937,FAM3C,TRUE,TRUE,FALSE,InnateDB-All,FALSE,0.302,B_cells.CAFs,0.997,LAMP1_FAM3C-B_cells.CAFs,0.997,0.803,0.805416249,0.5-2,1.391,0.964,0.6930266,0.5-2,0.860457684,0.5-2,0.5-2,B_cells,CAFs
CPI-SS083296041,CD40_CD40LG,simple:P25942,simple:P29965,ENSG00000101017,CD40,ENSG00000102245,CD40LG,TRUE,TRUE,FALSE,curated,FALSE,0.062,B_cells.CD4_T_cells,1.808,CD40_CD40LG-B_cells.CD4_T_cells,1.808,2.175,1.202986726,0.5-2,2.408,2.064,0.857142857,0.5-2,0.712512315,0.5-2,0.5-2,B_cells,CD4_T_cells
CPI-SS087321EB5,SELL_SELPLG,simple:P14151,simple:Q14242,ENSG00000188404,SELL,ENSG00000110876,SELPLG,FALSE,FALSE,TRUE,curated,FALSE,0.157,B_cells.CD4_T_cells,1.873,SELL_SELPLG-B_cells.CD4_T_cells,1.873,1.696,0.905499199,0.5-2,,,,,1.104363208,0.5-2,0.5-2,B_cells,CD4_T_cells
CPI-SC0329D5397,ICAM3_aLb2 complex,simple:P32942,complex:aLb2 complex,ENSG00000076662,ICAM3,,#N/A,FALSE,FALSE,FALSE,curated,TRUE,0.21,B_cells.CD4_T_cells,1.261,ICAM3_aLb2 complex-B_cells.CD4_T_cells,1.261,1.148,0.91038858,0.5-2,,,,,1.098432056,0.5-2,0.5-2,B_cells,CD4_T_cells
CPI-SS02A0FF87F,FAM3C_CLEC2D,simple:Q92520,simple:Q9UHP7,ENSG00000196937,FAM3C,ENSG00000069493,CLEC2D,TRUE,FALSE,TRUE,"IMEx,InnateDB-All,IntAct",FALSE,0.216,B_cells.CD4_T_cells,2.316,FAM3C_CLEC2D-B_cells.CD4_T_cells,2.316,2.264,0.977547496,0.5-2,,,,,1.022968198,0.5-2,0.5-2,B_cells,CD4_T_cells
CPI-SS0302E8E8F,CD74_COPA,simple:P04233,simple:P53621,ENSG00000019582,CD74,ENSG00000122218,COPA,TRUE,TRUE,FALSE,"IMEx,IntAct",FALSE,0.222,B_cells.CD4_T_cells,72.487,CD74_COPA-B_cells.CD4_T_cells,72.487,95.707,1.320333301,0.5-2,90.126,72.137,0.80040166,0.5-2,0.606211825,0.5-2,0.5-2,B_cells,CD4_T_cells
CPI-SS0ABC5C1B8,CD74_MIF,simple:P04233,simple:P14174,ENSG00000019582,CD74,ENSG00000240972,MIF,TRUE,TRUE,FALSE,"I2D,InnateDB-All",FALSE,0.225,B_cells.CD4_T_cells,75.275,CD74_MIF-B_cells.CD4_T_cells,75.275,99.165,1.317369645,0.5-2,92.644,74.528,0.804455766,0.5-2,0.61065303,0.5-2,0.5-2,B_cells,CD4_T_cells
CPI-SS028784FC6,HLA-DPA1_TNFSF9,simple:HLADPA1,simple:P41273,ENSG00000231389,HLA-DPA1,ENSG00000125657,TNFSF9,TRUE,TRUE,FALSE,InnateDB-All,FALSE,0.052,B_cells.CD8_act_T_cells,11.968,HLA-DPA1_TNFSF9-B_cells.CD8_act_T_cells,11.968,15.63,1.30598262,0.5-2,12.374,12.675,1.024325198,0.5-2,0.784332948,0.5-2,0.5-2,B_cells,CD8_act_T_cells
CPI-SS087321EB5,SELL_SELPLG,simple:P14151,simple:Q14242,ENSG00000188404,SELL,ENSG00000110876,SELPLG,FALSE,FALSE,TRUE,curated,FALSE,0.157,B_cells.CD8_act_T_cells,1.403,SELL_SELPLG-B_cells.CD8_act_T_cells,1.403,1.547,1.102637206,0.5-2,,,,,0.906916613,0.5-2,0.5-2,B_cells,CD8_act_T_cells
CPI-SS0302E8E8F,CD74_COPA,simple:P04233,simple:P53621,ENSG00000019582,CD74,ENSG00000122218,COPA,TRUE,TRUE,FALSE,"IMEx,IntAct",FALSE,0.222,B_cells.CD8_act_T_cells,72.606,CD74_COPA-B_cells.CD8_act_T_cells,72.606,95.789,1.319298681,0.5-2,,,,,0.757978473,0.5-2,0.5-2,B_cells,CD8_act_T_cells
CPI-SS061A7E099,CD55_ADGRE5,simple:P08174,simple:P48960,ENSG00000196352,CD55,ENSG00000123146,ADGRE5,TRUE,TRUE,TRUE,curated,FALSE,0.225,B_cells.CD8_act_T_cells,2.418,CD55_ADGRE5-B_cells.CD8_act_T_cells,2.418,4.01,1.658395368,0.5-2,5.028,3.309,0.658114558,0.5-2,0.396838155,0.5-2,>2 or <0.5,B_cells,CD8_act_T_cells
CPI-SS0ABC5C1B8,CD74_MIF,simple:P04233,simple:P14174,ENSG00000019582,CD74,ENSG00000240972,MIF,TRUE,TRUE,FALSE,"I2D,InnateDB-All",FALSE,0.225,B_cells.CD8_act_T_cells,74.473,CD74_MIF-B_cells.CD8_act_T_cells,74.473,98.424,1.321606488,0.5-2,91.985,75.575,0.821601348,0.5-2,0.62166867,0.5-2,0.5-2,B_cells,CD8_act_T_cells
CPI-SS083296041,CD40_CD40LG,simple:P25942,simple:P29965,ENSG00000101017,CD40,ENSG00000102245,CD40LG,TRUE,TRUE,FALSE,curated,FALSE,0.062,B_cells.CD8_ex_T_cells,1.827,CD40_CD40LG-B_cells.CD8_ex_T_cells,1.827,1.946,1.0651341,0.5-2,,,,,0.938848921,0.5-2,0.5-2,B_cells,CD8_ex_T_cells
